starttime	seconds	ctime	dtime	ttime	wait
Sat Sep 24 23:29:03 2022	1664051343	0	721	721	718
Sat Sep 24 23:29:08 2022	1664051348	0	721	721	721
Sat Sep 24 23:28:57 2022	1664051337	0	721	721	689
Sat Sep 24 23:28:58 2022	1664051338	0	723	723	719
Sat Sep 24 23:29:09 2022	1664051349	0	723	723	722
Sat Sep 24 23:29:01 2022	1664051341	0	724	724	723
Sat Sep 24 23:29:07 2022	1664051347	0	724	724	720
Sat Sep 24 23:28:58 2022	1664051338	0	724	724	724
Sat Sep 24 23:29:07 2022	1664051347	0	724	725	722
Sat Sep 24 23:29:02 2022	1664051342	0	725	725	723
Sat Sep 24 23:28:58 2022	1664051338	0	725	725	723
Sat Sep 24 23:29:06 2022	1664051346	0	725	725	724
Sat Sep 24 23:29:00 2022	1664051340	0	725	726	725
Sat Sep 24 23:29:02 2022	1664051342	0	726	726	703
Sat Sep 24 23:29:07 2022	1664051347	0	726	726	725
Sat Sep 24 23:28:57 2022	1664051337	0	726	726	725
Sat Sep 24 23:28:57 2022	1664051337	0	726	727	725
Sat Sep 24 23:28:57 2022	1664051337	0	727	727	726
Sat Sep 24 23:29:04 2022	1664051344	0	728	728	727
Sat Sep 24 23:29:07 2022	1664051347	0	728	729	725
Sat Sep 24 23:28:57 2022	1664051337	0	728	729	728
Sat Sep 24 23:28:56 2022	1664051336	2	727	729	727
Sat Sep 24 23:29:06 2022	1664051346	0	729	729	723
Sat Sep 24 23:29:09 2022	1664051349	0	729	729	728
Sat Sep 24 23:28:58 2022	1664051338	0	729	729	728
Sat Sep 24 23:28:59 2022	1664051339	0	729	729	720
Sat Sep 24 23:28:58 2022	1664051338	0	730	730	729
Sat Sep 24 23:29:04 2022	1664051344	0	730	730	729
Sat Sep 24 23:29:08 2022	1664051348	0	730	730	729
Sat Sep 24 23:28:58 2022	1664051338	0	730	731	730
Sat Sep 24 23:28:57 2022	1664051337	0	730	731	730
Sat Sep 24 23:29:02 2022	1664051342	0	731	731	730
Sat Sep 24 23:29:08 2022	1664051348	0	731	731	730
Sat Sep 24 23:29:02 2022	1664051342	0	732	732	731
Sat Sep 24 23:28:58 2022	1664051338	0	733	733	731
Sat Sep 24 23:28:58 2022	1664051338	0	733	733	731
Sat Sep 24 23:28:58 2022	1664051338	0	733	733	732
Sat Sep 24 23:28:56 2022	1664051336	0	734	734	732
Sat Sep 24 23:29:07 2022	1664051347	0	734	734	683
Sat Sep 24 23:29:05 2022	1664051345	0	735	735	728
Sat Sep 24 23:28:58 2022	1664051338	0	735	735	734
Sat Sep 24 23:29:06 2022	1664051346	0	735	735	735
Sat Sep 24 23:29:04 2022	1664051344	0	735	736	733
Sat Sep 24 23:28:58 2022	1664051338	0	736	736	733
Sat Sep 24 23:29:08 2022	1664051348	0	736	736	735
Sat Sep 24 23:28:59 2022	1664051339	0	737	737	716
Sat Sep 24 23:28:56 2022	1664051336	2	735	737	734
Sat Sep 24 23:29:10 2022	1664051350	0	739	739	738
Sat Sep 24 23:28:58 2022	1664051338	0	739	739	739
Sat Sep 24 23:28:58 2022	1664051338	0	739	740	736
Sat Sep 24 23:28:59 2022	1664051339	0	740	740	738
Sat Sep 24 23:29:07 2022	1664051347	0	740	740	739
Sat Sep 24 23:29:04 2022	1664051344	1	739	741	738
Sat Sep 24 23:28:59 2022	1664051339	0	741	741	740
Sat Sep 24 23:29:04 2022	1664051344	0	741	741	740
Sat Sep 24 23:29:13 2022	1664051353	0	741	741	732
Sat Sep 24 23:28:58 2022	1664051338	0	742	742	740
Sat Sep 24 23:29:02 2022	1664051342	0	742	742	703
Sat Sep 24 23:28:59 2022	1664051339	0	742	742	741
Sat Sep 24 23:28:59 2022	1664051339	0	743	743	740
Sat Sep 24 23:28:57 2022	1664051337	0	743	743	742
Sat Sep 24 23:28:57 2022	1664051337	0	744	744	743
Sat Sep 24 23:29:04 2022	1664051344	0	745	745	744
Sat Sep 24 23:29:07 2022	1664051347	0	745	745	745
Sat Sep 24 23:28:58 2022	1664051338	1	745	746	745
Sat Sep 24 23:29:04 2022	1664051344	0	746	746	745
Sat Sep 24 23:29:01 2022	1664051341	1	746	747	745
Sat Sep 24 23:28:58 2022	1664051338	0	747	747	746
Sat Sep 24 23:29:02 2022	1664051342	0	747	747	746
Sat Sep 24 23:28:57 2022	1664051337	0	747	747	746
Sat Sep 24 23:28:58 2022	1664051338	0	747	747	743
Sat Sep 24 23:29:04 2022	1664051344	0	747	747	746
Sat Sep 24 23:28:58 2022	1664051338	0	747	747	747
Sat Sep 24 23:28:58 2022	1664051338	0	748	748	747
Sat Sep 24 23:28:59 2022	1664051339	0	749	749	748
Sat Sep 24 23:28:58 2022	1664051338	0	749	749	749
Sat Sep 24 23:29:02 2022	1664051342	0	750	750	738
Sat Sep 24 23:29:02 2022	1664051342	0	750	750	749
Sat Sep 24 23:29:02 2022	1664051342	0	750	751	750
Sat Sep 24 23:28:58 2022	1664051338	0	752	752	752
Sat Sep 24 23:29:01 2022	1664051341	0	752	752	752
Sat Sep 24 23:29:03 2022	1664051343	0	752	752	711
Sat Sep 24 23:28:58 2022	1664051338	0	753	753	752
Sat Sep 24 23:29:00 2022	1664051340	0	753	753	752
Sat Sep 24 23:28:57 2022	1664051337	0	753	753	752
Sat Sep 24 23:29:02 2022	1664051342	0	754	754	753
Sat Sep 24 23:29:02 2022	1664051342	0	755	755	754
Sat Sep 24 23:28:58 2022	1664051338	0	755	756	752
Sat Sep 24 23:29:07 2022	1664051347	0	756	756	755
Sat Sep 24 23:28:58 2022	1664051338	0	756	756	755
Sat Sep 24 23:28:58 2022	1664051338	0	756	756	754
Sat Sep 24 23:28:57 2022	1664051337	0	756	757	752
Sat Sep 24 23:28:59 2022	1664051339	0	757	757	756
Sat Sep 24 23:28:57 2022	1664051337	0	758	758	726
Sat Sep 24 23:29:10 2022	1664051350	0	758	758	757
Sat Sep 24 23:29:04 2022	1664051344	1	758	759	757
Sat Sep 24 23:28:58 2022	1664051338	0	760	760	759
Sat Sep 24 23:29:07 2022	1664051347	0	761	761	761
Sat Sep 24 23:29:02 2022	1664051342	0	761	761	760
Sat Sep 24 23:29:01 2022	1664051341	0	761	762	761
Sat Sep 24 23:28:58 2022	1664051338	0	762	762	760
Sat Sep 24 23:29:04 2022	1664051344	0	762	762	757
Sat Sep 24 23:29:07 2022	1664051347	0	762	762	761
Sat Sep 24 23:29:05 2022	1664051345	0	762	762	750
Sat Sep 24 23:29:07 2022	1664051347	0	762	762	761
Sat Sep 24 23:28:58 2022	1664051338	0	763	763	763
Sat Sep 24 23:28:58 2022	1664051338	0	764	764	763
Sat Sep 24 23:29:03 2022	1664051343	0	764	764	763
Sat Sep 24 23:29:01 2022	1664051341	0	765	765	764
